Country,Total_Cases,Total_Deaths,Population,Deaths_per_100k
Spain,13980340,121852,47415794.0,256.99
Sri Lanka,672812,16907,22156000.0,76.31
Sudan,63993,5046,48066924.0,10.5
Suriname,82507,1406,617896.0,227.55
Sweden,2774847,28730,10415811.0,275.83
Switzerland,4478036,14170,8704546.0,162.79
Syrian Arab Republic,57423,3163,21628839.0,14.62
Tajikistan,17786,125,9966908.0,1.25
Thailand,4814003,34744,71727332.0,48.44
Timor-Leste,23460,138,1350139.0,10.22
Togo,39540,290,8878379.0,3.27
Tonga,16992,13,105490.0,12.32
Trinidad and Tobago,191496,4390,1367558.0,321.01
Tunisia,1153361,29423,12048622.0,244.2
Turkmenistan,0,0,7092043.0,0.0
Turks and Caicos Islands,6846,40,45243.0,88.41
Tuvalu,2943,1,10194.0,9.81
Uganda,172163,3632,45910930.0,7.91
Ukraine,5543211,109925,44298640.0,248.15
United Arab Emirates,1067030,2349,9575152.0,24.53
Uruguay,1042765,7694,3396695.0,226.51
Uzbekistan,175082,1016,34243696.0,2.97
Vanuatu,12019,14,305868.0,4.58
Viet Nam,11624000,43206,98935098.0,43.67
Zambia,349892,4078,19603607.0,20.8
Zimbabwe,266410,5740,15797210.0,36.34
